Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,3.070000,3.094000,2.995000,3.064000,2.650322,21807227
2020-07-01,3.065000,3.096000,2.975000,3.008000,2.601883,20192031
2020-07-02,3.054000,3.258000,3.045000,3.227000,2.791316,31444865
2020-07-03,3.227000,3.242000,3.123000,3.147000,2.722117,15327981
2020-07-06,3.259000,3.369000,3.256000,3.307000,2.860514,22841646
2020-07-07,3.263000,3.283000,3.207000,3.226000,2.790451,13733856
2020-07-08,3.187000,3.196000,3.106000,3.119000,2.697897,16942890
2020-07-09,3.149000,3.165000,3.060000,3.075000,2.659837,13381319
2020-07-10,3.047000,3.162000,3.026000,3.146000,2.721251,14636062
2020-07-13,3.210000,3.233000,3.150000,3.205000,2.772286,12503611
2020-07-14,3.179000,3.207000,3.117000,3.169000,2.741146,25788558
2020-07-15,3.205000,3.283000,3.109000,3.250000,2.811210,25052616
2020-07-16,3.250000,3.283000,3.216000,3.262000,2.821590,18978272
2020-07-17,3.263000,3.265000,3.178000,3.216000,2.781801,25230197
2020-07-20,3.204000,3.205000,3.133000,3.194000,2.762771,21218952
2020-07-21,3.230000,3.319000,3.163000,3.183000,2.753256,20638470
2020-07-22,3.197000,3.229000,3.150000,3.183000,2.753256,13854951
2020-07-23,3.200000,3.206000,3.122000,3.142000,2.717792,19126208
2020-07-24,3.110000,3.157000,3.098000,3.117000,2.696167,12242914
2020-07-27,3.104000,3.107000,2.992000,3.018000,2.610533,18811032
2020-07-28,3.024000,3.090000,3.005000,3.047000,2.635618,17016250
2020-07-29,3.050000,3.056000,2.875000,2.935000,2.538739,19798424
2020-07-30,2.905000,2.905000,2.632000,2.698000,2.333737,45680871
2020-07-31,2.714000,2.740000,2.637000,2.637000,2.280973,32180881
2020-08-03,2.617000,2.728000,2.584000,2.724000,2.356227,32136378
2020-08-04,2.751000,2.829000,2.722000,2.775000,2.400341,42763094
2020-08-05,2.796000,2.821000,2.661000,2.666000,2.306057,23357146
2020-08-06,2.660000,2.700000,2.582000,2.604000,2.252428,30310792
2020-08-07,2.569000,2.592000,2.462000,2.525000,2.184094,36807929
2020-08-10,2.575000,2.617000,2.524000,2.578000,2.229939,19297851
2020-08-11,2.607000,2.695000,2.605000,2.695000,2.331142,27500015
2020-08-12,2.698000,2.762000,2.630000,2.633000,2.277513,24448505
2020-08-13,2.610000,2.674000,2.555000,2.560000,2.214368,17966665
2020-08-14,2.551000,2.551000,2.436000,2.527000,2.185824,32828742
2020-08-17,2.527000,2.556000,2.482000,2.515000,2.175444,28207855
2020-08-18,2.517000,2.557000,2.464000,2.478000,2.143440,16487572
2020-08-19,2.470000,2.553000,2.458000,2.553000,2.208314,14459757
2020-08-20,2.490000,2.498000,2.448000,2.464000,2.131330,19486563
2020-08-21,2.485000,2.488000,2.388000,2.426000,2.098461,24478176
2020-08-24,2.453000,2.484000,2.415000,2.484000,2.148629,15737392
2020-08-25,2.510000,2.584000,2.503000,2.505000,2.166795,28033585
2020-08-26,2.491000,2.570000,2.480000,2.541000,2.197934,26362807
2020-08-27,2.525000,2.545000,2.466000,2.534000,2.191879,18903141
2020-08-28,2.557000,2.629000,2.546000,2.600000,2.248968,25572592
2020-08-31,2.620000,2.631000,2.449000,2.453000,2.121815,22978657
2020-09-01,2.497000,2.500000,2.420000,2.463000,2.130465,26992987
2020-09-02,2.458000,2.477000,2.372000,2.383000,2.061265,32243565
2020-09-03,2.417000,2.505000,2.406000,2.430000,2.101920,29290543
2020-09-04,2.456000,2.592000,2.445000,2.557000,2.211774,44375592
2020-09-07,2.591000,2.617000,2.502000,2.525000,2.184094,21003630
2020-09-08,2.526000,2.578000,2.475000,2.489000,2.152955,39311995
2020-09-09,2.489000,2.524000,2.457000,2.517000,2.177174,35711121
2020-09-10,2.518000,2.547000,2.471000,2.514000,2.174579,20558020
2020-09-11,2.501000,2.503000,2.429000,2.435000,2.106245,28056586
2020-09-14,2.464000,2.499000,2.427000,2.490000,2.153820,20739239
2020-09-15,2.467000,2.476000,2.400000,2.413000,2.087216,28192961
2020-09-16,2.412000,2.430000,2.351000,2.429000,2.101055,29897626
2020-09-17,2.391000,2.435000,2.341000,2.418000,2.091540,39641009
2020-09-18,2.405000,2.413000,2.298000,2.311000,1.998987,257015411
2020-09-21,2.289000,2.289000,2.150000,2.164000,1.871834,49644366
